Precision,Model_Name,Latency_ms,Throughput_tps,Avg_Power_W,Total_Energy_J,Accuracy_Score,VRAM_GB,Source,Notes
FP16,meta-llama/Llama-3-8B,30.5,32.79,385.0,140.0,66.6,15.8,Reference-Literature,"다중 모델 문헌 앵커 참고 수치(GPU 미실측). 생성 2026-08-28. accuracy=MMLU-style proxy, E=J/1000 tokens, E≈0.0119×P×latency (배치 스케일 정합)"
INT8,meta-llama/Llama-3-8B,25.2,39.68,312.0,93.7,65.5,8.4,Reference-Literature,"다중 모델 문헌 앵커 참고 수치(GPU 미실측). 생성 2026-08-28. accuracy=MMLU-style proxy, E=J/1000 tokens, E≈0.0119×P×latency (배치 스케일 정합)"
INT4,meta-llama/Llama-3-8B,21.0,47.62,245.0,61.3,63.0,5.9,Reference-Literature,"다중 모델 문헌 앵커 참고 수치(GPU 미실측). 생성 2026-08-28. accuracy=MMLU-style proxy, E=J/1000 tokens, E≈0.0119×P×latency (배치 스케일 정합)"
INT3,meta-llama/Llama-3-8B,19.6,51.02,228.0,53.3,58.0,4.8,Reference-Literature,"다중 모델 문헌 앵커 참고 수치(GPU 미실측). 생성 2026-08-28. accuracy=MMLU-style proxy, E=J/1000 tokens, E≈0.0119×P×latency (배치 스케일 정합)"
INT2,meta-llama/Llama-3-8B,18.9,52.91,220.0,49.6,47.0,4.2,Reference-Literature,"다중 모델 문헌 앵커 참고 수치(GPU 미실측). 생성 2026-08-28. accuracy=MMLU-style proxy, E=J/1000 tokens, E≈0.0119×P×latency (배치 스케일 정합)"
FP16,Qwen/Qwen2.5-7B,27.8,35.97,360.0,119.3,74.2,14.2,Reference-Literature,"다중 모델 문헌 앵커 참고 수치(GPU 미실측). 생성 2026-08-28. accuracy=MMLU-style proxy, E=J/1000 tokens, E≈0.0119×P×latency (배치 스케일 정합)"
INT8,Qwen/Qwen2.5-7B,23.0,43.48,292.0,80.1,73.4,7.6,Reference-Literature,"다중 모델 문헌 앵커 참고 수치(GPU 미실측). 생성 2026-08-28. accuracy=MMLU-style proxy, E=J/1000 tokens, E≈0.0119×P×latency (배치 스케일 정합)"
INT4,Qwen/Qwen2.5-7B,19.2,52.08,230.0,52.6,71.5,5.4,Reference-Literature,"다중 모델 문헌 앵커 참고 수치(GPU 미실측). 생성 2026-08-28. accuracy=MMLU-style proxy, E=J/1000 tokens, E≈0.0119×P×latency (배치 스케일 정합)"
INT3,Qwen/Qwen2.5-7B,17.9,55.87,214.0,45.7,66.0,4.4,Reference-Literature,"다중 모델 문헌 앵커 참고 수치(GPU 미실측). 생성 2026-08-28. accuracy=MMLU-style proxy, E=J/1000 tokens, E≈0.0119×P×latency (배치 스케일 정합)"
INT2,Qwen/Qwen2.5-7B,17.1,58.48,206.0,42.0,54.0,3.8,Reference-Literature,"다중 모델 문헌 앵커 참고 수치(GPU 미실측). 생성 2026-08-28. accuracy=MMLU-style proxy, E=J/1000 tokens, E≈0.0119×P×latency (배치 스케일 정합)"
FP16,google/gemma-2-9b,33.5,29.85,420.0,167.7,71.3,17.5,Reference-Literature,"다중 모델 문헌 앵커 참고 수치(GPU 미실측). 생성 2026-08-28. accuracy=MMLU-style proxy, E=J/1000 tokens, E≈0.0119×P×latency (배치 스케일 정합)"
INT8,google/gemma-2-9b,27.6,36.23,340.0,111.9,70.2,9.3,Reference-Literature,"다중 모델 문헌 앵커 참고 수치(GPU 미실측). 생성 2026-08-28. accuracy=MMLU-style proxy, E=J/1000 tokens, E≈0.0119×P×latency (배치 스케일 정합)"
INT4,google/gemma-2-9b,23.0,43.48,266.0,72.9,67.8,6.5,Reference-Literature,"다중 모델 문헌 앵커 참고 수치(GPU 미실측). 생성 2026-08-28. accuracy=MMLU-style proxy, E=J/1000 tokens, E≈0.0119×P×latency (배치 스케일 정합)"
INT3,google/gemma-2-9b,21.5,46.51,248.0,63.6,62.5,5.3,Reference-Literature,"다중 모델 문헌 앵커 참고 수치(GPU 미실측). 생성 2026-08-28. accuracy=MMLU-style proxy, E=J/1000 tokens, E≈0.0119×P×latency (배치 스케일 정합)"
INT2,google/gemma-2-9b,20.7,48.31,240.0,59.2,50.5,4.6,Reference-Literature,"다중 모델 문헌 앵커 참고 수치(GPU 미실측). 생성 2026-08-28. accuracy=MMLU-style proxy, E=J/1000 tokens, E≈0.0119×P×latency (배치 스케일 정합)"
FP16,mistralai/Mistral-7B,27.0,37.04,350.0,112.7,60.1,14.0,Reference-Literature,"다중 모델 문헌 앵커 참고 수치(GPU 미실측). 생성 2026-08-28. accuracy=MMLU-style proxy, E=J/1000 tokens, E≈0.0119×P×latency (배치 스케일 정합)"
INT8,mistralai/Mistral-7B,22.4,44.64,285.0,76.1,59.3,7.5,Reference-Literature,"다중 모델 문헌 앵커 참고 수치(GPU 미실측). 생성 2026-08-28. accuracy=MMLU-style proxy, E=J/1000 tokens, E≈0.0119×P×latency (배치 스케일 정합)"
